"aar";"yrke_grovgruppe";"yrke_fingruppe";"yrkeskode";"yrke";"yrkesbetegnelse";"isco_versjon";"antall_arbeidssokere"
"2013";"Reiseliv og transport";"Reiseledere, guider og reisebyråmedarbeidere ";"4221";"Reisebyråmedarbeidere mv.";"Lærling (reisefaglært), Reisebyråmedarbeider, Reisebyråmedarbeider mv., Reisekonsulent, Reisekoordinator, Turoperatør";"ISCO-08";"223"
"2013";"Kontorarbeid";"Resepsjonister og sentralbordoperatører";"4222";"Kundesentermedarbeidere";"Kundesentermedarbeider";"ISCO-08";"134"
"2013";"Kontorarbeid";"Resepsjonister og sentralbordoperatører";"4223";"Sentralbordoperatører";"Sentralbordoperatør";"ISCO-08";"295"
"2013";"Kontorarbeid";"Resepsjonister og sentralbordoperatører";"4224";"Hotellresepsjonister";"Hotellresepsjonist, Lærling (resepsjonist), Resepsjonist";"ISCO-08";"615"
"2013";"Kontorarbeid";"Resepsjonister og sentralbordoperatører";"4225";"Informasjonsskrankemedarbeidere";"Informasjonsskrankemedarbeider";"ISCO-08";"48"
"2013";"Kontorarbeid";"Resepsjonister og sentralbordoperatører";"4226";"Resepsjonister (ekskl. hotell)";"Bowlingvert, Resepsjonist (ekskl. hotell)";"ISCO-08";"119"
"2013";"Kontorarbeid";"Andre funksjonærer";"4227";"Intervjuere";"Intervjuer";"ISCO-08";"53"
"2013";"Kontorarbeid";"Andre funksjonærer";"4229";"Andre opplysningsmedarbeidere";"*";"ISCO-08";"*"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4311";"Regnskapsmedarbeidere";"Regnskapsmedarbeider, Økonomimedarbeider";"ISCO-08";"1013"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4312";"Forsikrings- og finansmedarbeidere";"*";"ISCO-08";"*"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4313";"Lønningsmedarbeidere";"Lønningsmedarbeider, Lønnsmedarbeider";"ISCO-08";"114"
"2013";"Kontorarbeid";"Lager- og transportmedarbeidere";"4321";"Lagermedarbeidere og materialforvaltere";"Lagermedarbeider, Lagermedarbeider og materialforvalter, Lærling (materialadministrator), Lærling (terminalarbeid)";"ISCO-08";"2730"
"2013";"Kontorarbeid";"Lager- og transportmedarbeidere";"4322";"Logistikkmedarbeidere";"Logistikkmedarbeider";"ISCO-08";"510"
"2013";"Kontorarbeid";"Lager- og transportmedarbeidere";"4323";"Transportfunksjonærer";"Fraktkonsulent (lufthavn), Havneinspektør, Lærling (yrkessjåfør), Togleder (jernbane), Trafikkontrollør (vegtrafikk), Transportfunksjonær";"ISCO-08";"153"
"2013";"Kontorarbeid";"Andre funksjonærer";"4411";"Bibliotekassistenter";"Bibliotekassistent, Bibliotekfullmektig";"ISCO-08";"32"
"2013";"Kontorarbeid";"Andre funksjonærer";"4412";"Postbud og postsorterere";"Postbud og postsorterer";"ISCO-08";"48"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4413";"Kodere mv";"*";"ISCO-08";"*"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4415";"Arkivassistenter";"Arkivassistent, Arkivmedarbeider";"ISCO-08";"58"
"2013";"Kontorarbeid";"Økonomi- og kontormedarbeidere";"4416";"Personalkontormedarbeidere";"Personalkontormedarbeider";"ISCO-08";"73"
"2013";"Reiseliv og transport";"Konduktører og kabinpersonale";"5111";"Flyverter, båtverter mv.";"Airpurser, Airsteward, Båtvert/-vertinne, Cabin Attendant, Flyvert, båtvert mv., Flyvert/-vertinne, Kabinpersonale, Kabinpersonale (sivil luftfart), Kabinsjef, Lærling (flyvert/-vertinne), Purser (sjø), Purserassistent (transport), Togvert/-vertinne";"ISCO-08";"58"
"2013";"Reiseliv og transport";"Konduktører og kabinpersonale";"5112";"Konduktører";"Billettør (transportmidler), Konduktør, Konduktør (tog), Kontrollør (billettør - transportmidler), Kontrollør/billettør (buss, sporvogn, t-bane, tog), Togkontrollør";"ISCO-08";"13"
"2013";"Reiseliv og transport";"Reiseledere, guider og reisebyråmedarbeidere ";"5113";"Reiseledere og guider";"Bedriftsguide, Guide, Havnevert/-vertinne (båtturister), Omviser, Reiseleder, Reiseleder og guide, Turistinformasjonsmedarbeider, Turistvert";"ISCO-08";"148"
"2013";"Reiseliv og transport";"Kokker";"5120";"Kokker";"Arbeidsleder (kjøkken), Driftssjef (kantine), Forpleiningssjef (stuert), Forpleiningssjef/stuert, Hjelpekokk, Institusjonskokk, Kokk, Kokkelærling, Lærling (institusjonskokk), Lærling (kokk), Pizzabaker, Pizzakokk, Skipskokk";"ISCO-08";"1632"
